Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
SpaceX,Venture Round - SpaceX,"$1,724,965,480","May 24, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Anduril Industries,Series E - Anduril Industries,"$1,480,000,000","Dec 2, 2022","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series E
Sierra Space,Series A - Sierra Space,"$1,400,000,000","Nov 19, 2021","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series A
OneWeb,Venture Round - OneWeb,"$1,250,000,000","Mar 18, 2019","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$850,000,000","Feb 16, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series E - Relativity Space,"$650,000,000","Jun 8, 2021","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series E
OneWeb,Corporate Round - OneWeb,"$550,000,000","Apr 27, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
SpaceX,Venture Round - SpaceX,"$535,744,188","May 24, 2019","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series D - Relativity Space,"$500,000,000","Nov 17, 2020","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series D
OneWeb,Corporate Round - OneWeb,"$500,000,000","Jun 29, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
Anduril Industries,Series D - Anduril Industries,"$450,000,000","Jun 17, 2021","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series D
Wisk Aero,Corporate Round - Wisk Aero,"$450,000,000","Jan 24, 2022","Mountain View, California, United States, North America","Aerospace, Air Transportation, Sustainability, Transportation, Travel",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make sustainable flight a reality for everyday life.,Corporate Round
OneWeb,Venture Round - OneWeb,"$400,000,000","Jan 15, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
Beta Technologies,Series B - Beta Technologies,"$375,000,000","Apr 20, 2022","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series B
Beta Technologies,Series A - Beta Technologies,"$368,000,000","May 18, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series A
Axiom Space,Series C - Axiom Space,"$350,000,000","Aug 21, 2023","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series C
SpaceX,Venture Round - SpaceX,"$346,200,000","May 26, 2020","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$337,355,200","Dec 30, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$314,000,000","Apr 14, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Shield AI,Series F - Shield AI,"$300,000,000","Oct 31, 2023","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series F
Firefly Aerospace,Series C - Firefly Aerospace,"$300,000,000","Nov 10, 2023","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series C
OneWeb,Corporate Round - OneWeb,"$300,000,000","Aug 12, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
Sierra Space,Series B - Sierra Space,"$290,000,000","Sep 26, 2023","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series B
Astranis,Series C - Astranis,"$250,000,000","Apr 14, 2021","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Series C
SpaceX,Private Equity Round - SpaceX,"$250,000,000","Jul 15, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Private Equity
Volocopter,Series D - Volocopter,"€201,000,000","Mar 3, 2021","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series D
Divergent,Series D - Divergent,"$230,000,000","Nov 13, 2023","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Series D
Skydio,Series E - Skydio,"$230,000,000","Feb 27, 2023","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series E
Helsing,Series B - Helsing,"€209,000,000","Sep 14, 2023","Berlin, Berlin, Germany, Europe","Artificial Intelligence (AI), Information Technology, Military, Software",Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,Series B
Shield AI,Series D - Shield AI,"$210,000,000","Aug 24, 2021","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series D
Skyryse,Series B - Skyryse,"$200,000,000","Oct 27, 2021","El Segundo, California, United States, North America","Aerospace, Air Transportation, Internet, Transportation",Skyryse is an air mobility company on a mission to democratize the sky.,Series B
Astranis,Venture Round - Astranis,"$200,000,000","Apr 14, 2023","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Venture - Series Unknown
Epirus,Series C - Epirus,"$200,000,000","Feb 15, 2022","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Military, Software",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,Series C
ABL Space Systems,Series B - ABL Space Systems,"$200,000,000","Oct 25, 2021","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series B
Anduril Industries,Series C - Anduril Industries,"$200,000,000","Jul 1, 2020","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series C
Volocopter,Series E - Volocopter,"$182,000,000","Nov 1, 2022","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series E
Skydio,Series D - Skydio,"$170,000,000","Feb 28, 2021","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series D
Volocopter,Series E - Volocopter,"$170,000,000","Mar 4, 2022","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series E
ABL Space Systems,Series B - ABL Space Systems,"$170,000,000","Mar 25, 2021","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series B
Isar Aerospace,Series C - Isar Aerospace,"€155,000,000","Mar 28, 2023","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series C
Divergent,Series C - Divergent,"$160,000,000","Apr 25, 2022","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Series C
HawkEye 360,Series D - HawkEye 360,"$150,000,000","Nov 8, 2021","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series D
Rebellion Defense,Series B - Rebellion Defense,"$150,000,000","Sep 16, 2021","Washington, District of Columbia, United States, North America","Artificial Intelligence (AI), Machine Learning, National Security, Software",Rebellion Defense's mission is to help the US and its partners outpace tomorrow's adversary.,Series B
Overair,Series B - Overair,"$145,000,000","Jun 14, 2022","Santa Ana, California, United States, North America","Aerospace, Air Transportation, Electric Vehicle, Manufacturing","Overair designs, develops, and manufactures electric vertical takeoff and landing (eVTOL) aircraft.",Series B
Beta Technologies,Venture Round - Beta Technologies,"$143,000,000","Mar 1, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Venture - Series Unknown
Loft Orbital,Series B - Loft Orbital,"$140,000,000","Nov 7, 2021","San Francisco, California, United States, North America","Aerospace, Satellite Communication","Loft Orbital leases space on satellites for any organization to collect information about the Earth, from space.",Series B
Relativity Space,Series C - Relativity Space,"$140,000,000","Oct 1, 2019","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series C
ICEYE,Series D - ICEYE,"$136,000,000","Feb 3, 2022","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Series D
Echodyne,Series C - Echodyne,"$135,000,000","Jun 13, 2022","Kirkland, Washington, United States, North America","Electronics, National Security, Sensor, Software",Echodyne develops and manufactures meta-materials-based radar technologies.,Series C
Axiom Space,Series B - Axiom Space,"$130,000,000","Feb 16, 2021","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series B
Flying Whales,Venture Round - Flying Whales,"€122,000,000","Jun 30, 2022","Suresnes, Ile-de-France, France, Europe",Aerospace,Flying Whales connecting the land-locked world to the global economy,Venture - Series Unknown
Helsing,Series A - Helsing,"€102,500,000","Nov 9, 2021","Berlin, Berlin, Germany, Europe","Artificial Intelligence (AI), Information Technology, Military, Software",Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,Series A
ZeroAvia,Series C - ZeroAvia,"$116,000,000","Sep 18, 2023","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series C
Skyports,Series C - Skyports,"£88,000,000","Apr 17, 2024","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series C
D-Orbit,Series C - D-Orbit,"€100,000,000","Nov 8, 2023","Milan, Lombardia, Italy, Europe","Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation","D-Orbit is the first in-space transportation company, providing solutions for moving, precise deployment and removing satellites.",Series C
Heart Aerospace,Series B - Heart Aerospace,"$107,000,000","Feb 1, 2024","Göteborg, Vastra Gotaland, Sweden, Europe",Aerospace,Heart Aerospace is a Swedish startup making electric regional airplanes.,Series B
Mark43,Series E - Mark43,"$101,000,000","Jul 12, 2021","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Series E
Stoke Space,Series B - Stoke Space,"$100,000,000","Oct 5, 2023","Kent, Washington, United States, North America","Aerospace, Product Design, Space Travel",Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Series B
True Anomaly,Series B - True Anomaly,"$100,000,000","Dec 12, 2023","Centennial, Colorado, United States, North America","Aerospace, Machinery Manufacturing, Military, Space Travel","True Anomaly develops space security technologies using AI, software, and spacecraft to enhance global security and sustainability.",Series B
Gecko Robotics,Series C - Gecko Robotics,"$100,000,000","Dec 5, 2023","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series C
Ursa Major,Series D - Ursa Major,"$100,000,000","Apr 26, 2023","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series D
AeroVanti,Corporate Round - AeroVanti,"$100,000,000","Oct 19, 2022","Annapolis, Maryland, United States, North America","Aerospace, Air Transportation, Transportation",AeroVanti offers private aviation services aiming to make charter services affordable and accessible to everyone.,Corporate Round
Skydio,Series C - Skydio,"$100,000,000","Jul 13, 2020","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series C
Divergent,Corporate Round - Divergent,"$100,000,000","Dec 16, 2022","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Corporate Round
Hermeus,Series B - Hermeus,"$100,000,000","Mar 10, 2022","Atlanta, Georgia, United States, North America","Aerospace, Air Transportation, Infrastructure, Travel",Hermeus is developing Mach 5 aircraft to speed up the global transportation network.,Series B
Capella Space,Series C - Capella Space,"$97,000,000","Apr 25, 2022","San Francisco, California, United States, North America","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Series C
Divergent,Convertible Note - Divergent,"$96,000,000","Jul 1, 2019","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Convertible Note
Volocopter,Series C - Volocopter,"€87,000,000","Feb 14, 2020","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series C
ICEYE,Venture Round - ICEYE,"$93,000,000","Apr 17, 2024","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Venture - Series Unknown
Unseenlabs,Series C - Unseenlabs,"€85,000,000","Feb 27, 2024","Rennes, Bretagne, France, Europe","Aerospace, Marine Technology, Security","Unseenlabs offers maritime surveillance via space-based RF detection, tracking ships worldwide by electromagnetic signatures.",Series C
Hadrian,Series B - Hadrian,"$92,000,000","Feb 21, 2024","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",Hadrian is a machine parts startup that manufactures precision components for technology companies.,Series B
Voyager Space,Venture Round - Voyager Space,"$91,005,224","Oct 12, 2021","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Venture - Series Unknown
Isar Aerospace,Series B - Isar Aerospace,"$91,000,000","Dec 9, 2020","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series B
Hadrian,Series A - Hadrian,"$90,000,000","Mar 31, 2022","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",Hadrian is a machine parts startup that manufactures precision components for technology companies.,Series A
Shield AI,Series E - Shield AI,"$90,000,000","Jun 9, 2022","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series E
Varda,Series B - Varda,"$90,000,000","Apr 5, 2024","San Francisco, California, United States, North America","Aerospace, Manufacturing, Product Design",Varda is a space manufacturing startup that creates products in microgravity and retrieves them for terrestrial use.,Series B
ICEYE,Series C - ICEYE,"$87,000,000","Sep 22, 2020","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Series C
Ursa Major,Series C - Ursa Major,"$85,000,000","Dec 7, 2021","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series C
Voyager Space,Private Equity Round - Voyager Space,"$80,200,000","Feb 3, 2023","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Private Equity
Mach Industries,Series A - Mach Industries,"$79,000,000","Oct 4, 2023","Austin, Texas, United States, North America","Energy, Industrial, National Security",Mach Industries provides defence systems technology that creates a hardware solution using field-sourced hydrogen creation and techniques.,Series A
Firefly Aerospace,Series A - Firefly Aerospace,"$75,000,000","May 4, 2021","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series A
Isar Aerospace,Series B - Isar Aerospace,"$75,000,000","Jul 28, 2021","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series B
Firefly Aerospace,Series B - Firefly Aerospace,"$75,000,000","Mar 22, 2022","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series B
Vannevar Labs,Series B - Vannevar Labs,"$75,000,000","Jan 18, 2023","Palo Alto, California, United States, North America","Aerospace, Artificial Intelligence (AI), GovTech, National Security, Software",Vannevar Labs is a technology startup providing defense and national security technologies for critical national security problems.,Series B
Gecko Robotics,Series C - Gecko Robotics,"$73,000,000","Mar 3, 2022","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series C
SpinLaunch,Series B - SpinLaunch,"$71,000,000","Sep 20, 2022","Long Beach, California, United States, North America","Aerospace, Space Travel",SpinLaunch is an aerospace company focused on sending satellites to low-Earth orbit using kinetic energy.,Series B
Chaos,Series A - Chaos,"$70,000,000","Mar 6, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Military, National Security",The future of defense and critical industry technology.,Series A
HawkEye 360,Series B - HawkEye 360,"$70,000,000","Aug 6, 2019","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series B
Epirus,Series B - Epirus,"$70,000,000","Dec 17, 2020","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Military, Software",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,Series B
Shield AI,Series C - Shield AI,"$70,000,000","Feb 23, 2021","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series C
Quantum Systems,Series B - Quantum Systems,"€63,600,000","Oct 24, 2023","Gilching, Bayern, Germany, Europe","Aerospace, Agriculture, Mapping Services, Robotics","Unmanned aerial systems, drones, UAV",Series B
LeoLabs,Series B - LeoLabs,"$65,000,000","Jun 3, 2021","Menlo Park, California, United States, North America","Aerospace, Database, Mapping Services, Software",LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services.,Series B
Stoke Space,Series A - Stoke Space,"$65,000,000","Dec 15, 2021","Kent, Washington, United States, North America","Aerospace, Product Design, Space Travel",Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Series A
Customcells Group,Series A - Customcells Group,"€60,000,000","Dec 8, 2022","Itzehoe, Schleswig-Holstein, Germany, Europe","Aerospace, Artificial Intelligence (AI), Automotive, Battery, Chemical, Chemical Engineering, CleanTech, Energy, Energy Efficiency, Energy Storage","Innovative cells, High performance batteries, Lithium ion, cells, Automotive cells, Aviation cells, High Si cells, battery technology",Series A
Universal Hydrogen,Series B - Universal Hydrogen,"$62,000,000","Oct 14, 2021","Hawthorne, California, United States, North America","Aerospace, CleanTech, Energy, Infrastructure, Logistics",Universal Hydrogen is a fuel logistics company making hydrogen-powered commercial flight a reality.,Series B
Shield AI,Series E - Shield AI,"$60,000,000","Dec 13, 2022","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series E
CesiumAstro,Series B - CesiumAstro,"$60,000,000","Mar 2, 2022","Austin, Texas, United States, North America","Aerospace, Drones, Satellite Communication, Space Travel","CesiumAstro provides out-of-the-box communication systems for satellites, UAVs, launch vehicles, and other space or airborne platforms.",Series B
Capella Space,Venture Round - Capella Space,"$60,000,000","Jan 10, 2023","San Francisco, California, United States, North America","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Venture - Series Unknown
HawkEye 360,Series D - HawkEye 360,"$58,000,000","Jul 13, 2023","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series D
Daedalean,Series B - Daedalean,"CHF53,000,000","Jan 17, 2022","Zürich, Zurich, Switzerland, Europe","Aerospace, Air Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Machine Learning, Software",Daedalean is building autonomous piloting software systems for civil aircraft of today and advanced aerial mobility of tomorrow.,Series B
Privateer,Series A - Privateer,"$56,500,000","May 6, 2024","Kihei, Hawaii, United States, North America","Big Data, Data Visualization, Geospatial, National Security, Predictive Analytics, Software",Privateer develops data infrastructure to power sustainable growth for the new space economy.,Series A
Volocopter,Series C - Volocopter,"€50,000,000","Sep 9, 2019","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series C
Saronic,Series A - Saronic,"$55,000,000","Oct 9, 2023","Austin, Texas, United States, North America","Artificial Intelligence (AI), Drones, Government, Military, National Security",Saronic provides naval and maritime forces with the most intelligent Autonomous Surface Vessels available.,Series A
HawkEye 360,Series C - HawkEye 360,"$55,000,000","Apr 12, 2021","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series C
BRINC,Series B - BRINC,"$55,000,000","Jan 1, 2022","Seattle, Washington, United States, North America","Aerospace, Drones, Law Enforcement, Public Safety, Robotics",BRINC is an aerospace company that builds technology in the service of public safety.,Series B
Kairos Aerospace,Series D - Kairos Aerospace,"$52,000,000","Feb 15, 2024","Sunnyvale, California, United States, North America","Aerospace, Data Visualization, Energy, Oil and Gas",Kairos Aerospace develops aerial monitoring technology to detect aerial methane leaks for the energy industry.,Series D
Open Cosmos,Series B - Open Cosmos,"£40,000,000","Sep 11, 2023","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Geospatial, Internet of Things, Satellite Communication, Space Travel","Open Cosmos is a space technology company that designs, builds, and operates low-earth orbit satellites, providing data and images.",Series B
Mark43,Series D - Mark43,"$50,000,000","Apr 1, 2020","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Series D
Boom Supersonic,Series C - Boom Supersonic,"$50,000,000","Dec 15, 2020","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Series C
Sceye,Series B - Sceye,"$50,000,000","Aug 4, 2021","Moriarty, New Mexico, United States, North America","3D Technology, Aerospace, Internet, Sensor, Solar",Sceye is a material science company that is leading the development of a new generation of high-altitude platform stations,Series B
Portside,Series B - Portside,"$50,000,000","Feb 1, 2023","San Francisco, California, United States, North America","Aerospace, Air Transportation, Analytics, Software, Transportation","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners.",Series B
Percipient.ai,Venture Round - Percipient.ai,"$49,999,997","Apr 23, 2021","Santa Clara, California, United States, North America","Analytics, Artificial Intelligence (AI), Machine Learning, National Security, Security",Percipient.ai is a provider of an artificial intelligence advanced analytics platform designed to provide solutions for Intelligence.,Venture - Series Unknown
H55,Series C - H55,"CHF45,000,000","Sep 21, 2023","Sion, Valais, Switzerland, Europe","Aerospace, Electronics, Manufacturing","H 55 is developing certified technology solutions to make aviation clean, quite, efficient, affordable and ultimative autonomous.",Series C
ABL Space Systems,Series A - ABL Space Systems,"$49,000,000","Mar 31, 2020","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series A
Elroy Air,Venture Round - Elroy Air,"$48,925,588","Jan 16, 2024","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Venture - Series Unknown
Armada,Series A - Armada,"$47,300,000","Dec 11, 2023","San Francisco, California, United States, North America","Artificial Intelligence (AI), Cloud Computing, Data Center, National Security, Software",Welcome to the new edge. Armada is the world’s first full-stack edge computing platform.,Series A
Grayshift,Series A - Grayshift,"$47,000,000","Oct 26, 2020","Atlanta, Georgia, United States, North America","Law Enforcement, Security","Grayshift is a provider of mobile device digital forensics, specializing in lawful access and extraction.",Series A
